1620015300000,57993.46000000,57994.81000000,57895.52000000,57902.47000000,2.32306100,1620016199999,134672.73932182,81,1.04328400,60469.57495345,0
1620016200000,57960.29000000,57991.81000000,57716.99000000,57737.51000000,2.23327800,1620017099999,129185.65292317,118,0.82113300,47486.91746652,0
1620017100000,57749.91000000,57855.26000000,57716.99000000,57823.46000000,3.57426800,1620017999999,206514.00933849,95,1.66080900,95963.27905208,0
1620018000000,57833.52000000,57991.29000000,57791.36000000,57916.23000000,2.17510600,1620018899999,125890.69805681,78,1.23964500,71739.45088609,0
1620018900000,57929.35000000,58034.57000000,57897.36000000,57928.08000000,0.86025400,1620019799999,49838.14240007,45,0.28049200,16254.78535278,0
1620019800000,57893.99000000,58134.31000000,57893.71000000,58020.43000000,4.85701900,1620020699999,281780.00399124,142,1.34756500,78191.33451600,0
1620020700000,58009.38000000,58056.93000000,57894.24000000,57934.37000000,3.10495000,1620021599999,180008.37116830,80,1.83897100,106652.75659204,0
1620021600000,57946.52000000,58054.55000000,57913.45000000,58054.55000000,1.15072000,1620022499999,66717.73484811,59,0.98252700,56964.69147291,0
1620022500000,58014.66000000,58054.55000000,57907.03000000,57929.71000000,1.43376400,1620023399999,83145.60931026,62,0.94829800,54999.45568210,0
1620023400000,57938.58000000,58037.90000000,57877.81000000,58021.43000000,1.09643900,1620024299999,63538.98961535,57,0.61080900,35388.85685666,0
1620024300000,58021.43000000,58026.55000000,57898.30000000,57944.45000000,2.00577500,1620025199999,116238.68289561,65,1.21359600,70300.52295417,0
1620025200000,57925.31000000,57956.95000000,57831.85000000,57928.22000000,1.64159800,1620026099999,95061.31358749,77,0.69359600,40158.10239648,0
1620026100000,57936.53000000,58478.14000000,57936.53000000,58415.06000000,2.87750200,1620026999999,167555.24639175,226,1.53345500,89265.48431548,0
1620027000000,58451.56000000,58780.55000000,58341.86000000,58671.78000000,6.48713500,1620027899999,380176.49020210,617,3.83359200,224630.34649878,0
1620027900000,58696.26000000,58849.00000000,58679.10000000,58793.92000000,2.13611700,1620028799999,125563.91951643,208,0.99917300,58736.90245314,0
