AUDCAD,AUDNZD,CADCHF,CADHKD,CHFJPY,CHFSGD,EURAUD,EURCAD,EURCHF,EURPLN,EURSEK,EURTRY,HKDJPY,ZARJPY,USDZAR,USDTRY,USDTHB,USDNOK,USDMXN,USDHUF,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9748366666666667,1.09539,0.76991,5.80108,119.572,1.3691966666666666,1.4536433333333332,1.4172400000000003,1.0914033333333333,4.2719700000000005,9.21446,3.069456666666667,15.871303333333335,8.489333333333333,14.438703333333331,2.893293333333333,35.065333333333335,8.387673333333334,20.35601,289.89399999999995,0.7295566666666665,1.0606366666666667,1.5074333333333332,0.6659,1.33624,1.0289666666666666,123.05133333333333
0.9770166666666666,1.09595,0.7686966666666666,5.7967233333333334,119.59233333333333,1.3691833333333332,1.4527333333333334,1.41965,1.0916333333333332,4.27706,9.221593333333333,3.06916,15.861303333333334,8.476,14.44885,2.889853333333333,35.06870000000001,8.381873333333333,20.343276666666668,289.887,0.7307099999999999,1.0617833333333333,1.5072966666666667,0.6665233333333332,1.3370733333333333,1.0280699999999998,122.97133333333333
0.9780266666666666,1.0970566666666666,0.7684466666666667,5.798723333333332,119.605,1.3688399999999998,1.4513800000000001,1.41979,1.0913966666666666,4.278759999999999,9.22666,3.0707500000000003,15.85324,8.479666666666667,14.432339999999998,2.8898166666666665,35.03560000000001,8.38214,20.33137,290.31466666666665,0.7317466666666667,1.0622833333333332,1.5075366666666667,0.6667900000000001,1.3365633333333333,1.02736,122.902
0.9775466666666667,1.0972266666666666,0.7678466666666667,5.798823333333334,119.76033333333334,1.3704766666666668,1.4518166666666668,1.41951,1.09033,4.27845,9.22826,3.069646666666667,15.860840000000001,8.481333333333334,14.433903333333333,2.8892,35.00046666666667,8.387479999999998,20.299696666666666,290.58033333333333,0.7314533333333334,1.06217,1.5071866666666667,0.66644,1.3364500000000001,1.0264766666666667,122.95533333333333
0.9782266666666666,1.0981166666666666,0.7677233333333332,5.796946666666667,119.84466666666667,1.37155,1.4508933333333334,1.41948,1.09009,4.278823333333333,9.2299,3.065773333333333,15.873973333333334,8.507666666666667,14.403956666666666,2.8866833333333335,34.97343333333334,8.390509999999999,20.28022,290.86733333333336,0.7317266666666667,1.0618133333333333,1.50582,0.6662433333333332,1.3368966666666668,1.0265766666666665,123.04633333333334
0.97927,1.0990966666666668,0.7671100000000001,5.79061,119.96366666666667,1.3731333333333333,1.4489733333333332,1.4191166666666666,1.0889033333333333,4.276646666666667,9.226396666666668,3.062523333333333,15.893506666666667,8.530666666666667,14.38481,2.8875433333333334,34.99023333333333,8.384446666666667,20.256466666666665,290.6213333333333,0.7317533333333334,1.060463333333333,1.5032433333333335,0.66568,1.3382733333333332,1.0267799999999998,123.19099999999999
0.9789199999999999,1.10068,0.7664933333333334,5.791976666666667,120.234,1.3756200000000003,1.4478733333333331,1.4175433333333334,1.0868233333333335,4.275733333333333,9.214896666666666,3.060303333333333,15.91242,8.556,14.359879999999999,2.887783333333333,34.9967,8.375460000000002,20.243463333333334,290.56,0.7316766666666666,1.0595533333333333,1.4988666666666666,0.66468,1.337926666666667,1.0256800000000001,123.33733333333333
0.97724,1.1009833333333334,0.7650333333333333,5.79596,120.57066666666667,1.37969,1.4489600000000002,1.4162499999999998,1.0838533333333333,4.273866666666667,9.207123333333334,3.0624333333333333,15.916833333333335,8.555333333333333,14.357873333333332,2.8902666666666668,35.009166666666665,8.365993333333334,20.254883333333336,290.3193333333333,0.7309200000000001,1.0592833333333334,1.49592,0.6636733333333333,1.33701,1.0230766666666666,123.375
0.9749666666666666,1.1001466666666666,0.7639833333333333,5.804226666666666,120.87133333333334,1.3836233333333334,1.4512433333333332,1.4152033333333334,1.08159,4.275006666666667,9.205193333333334,3.0661166666666673,15.912596666666667,8.550333333333333,14.35868,2.8911833333333328,35.0046,8.380943333333335,20.28108333333333,290.72033333333326,0.7302733333333333,1.0600100000000001,1.4939099999999998,0.6635933333333334,1.33509,1.0202366666666667,123.341
0.9744233333333333,1.09956,0.7641033333333334,5.811093333333333,120.96733333333334,1.3845333333333334,1.45047,1.4136433333333331,1.0805566666666666,4.274583333333333,9.208660000000002,3.0658566666666665,15.909260000000002,8.553666666666667,14.348173333333333,2.890003333333333,35.008199999999995,8.39253,20.289003333333337,290.84533333333326,0.7307266666666666,1.0601033333333334,1.4935866666666666,0.6643433333333334,1.3334966666666668,1.01918,123.31133333333332
0.97474,1.0995333333333333,0.7657866666666667,5.813616666666667,120.843,1.3817233333333334,1.4471,1.41069,1.0805333333333333,4.272213333333334,9.20308,3.0602366666666665,15.919746666666667,8.566666666666668,14.342373333333333,2.888973333333333,35.023833333333336,8.405126666666666,20.283226666666668,291.1646666666666,0.7312833333333333,1.0583600000000002,1.4930066666666668,0.6650033333333334,1.3329066666666667,1.020946666666667,123.38766666666668
