BTCUSD,ETHUSD,BCHUSD,LTCUSD,ADAUSD,BATUSD,ETCUSD,XLMUSD,ZRXUSD,LINKUSD,RVNUSD,DASHUSD,ZECUSD,ALGOUSD,IOTAUSD,WAVESUSD,ATOMUSD,NEOUSD,QTUMUSD,NANOUSD,ICXUSD,ENJUSD,ONTUSD,ZILUSD,VETUSD,XTZUSD,HBARUSD,OMGUSD,MATICUSD,REPUSD,EOSUSD,DOGEUSD,KNCUSD,VTHOUSD,COMPUSD,MANAUSD,HNTUSD,MKRUSD,DAIUSD,ONEUSD,BANDUSD,STORJUSD,UNIUSD,SOLUSD,EGLDUSD,PAXGUSD,OXTUSD,ZENUSD,FILUSD,AAVEUSD,GRTUSD,SUSHIUSD,ANKRUSD,AMPUSD,CRVUSD,AXSUSD,AVAXUSD,CTSIUSD,SHIBUSDT,Date
7349.86,150.31,213.44,47.38,0.0396,0.1949,3.9198,0.057,0.2574,2.1587,0.0222,52.97,27.75,0.261,0.2065,0.6027,3.761,9.234,1.819,0.8806,0.1335,0.0771,0.9683,0.0073,0.0066,1.32,0.0363,1.5498,0.0206,16.03,2.4804,0.0038,1.739,0.0022,229.78,0.0977,1.5195,628.7084,1.0088,0.0105,13.0534,0.462,7.267,2.9576,9.601,1865.65,0.2973,12.378,64.17,251.75,0.5665,8.206,0.083,0.0718,2.35,143.93,119.47,1.0279,8.71e-06,2021-09-16 21:09
7400.4,151.43,214.65,47.51,0.0397,0.1957,3.9373,0.0575,0.26,2.1745,0.0224,53.1,27.96,0.268,0.2062,0.6125,3.834,9.246,1.787,0.8822,0.1336,0.0764,0.9606,0.0075,0.0066,1.3429,0.0364,1.5037,0.0206,16.19,2.4804,0.0036,1.737,0.0021,206.51,0.0957,1.6139,632.3527,1.0102,0.0106,13.6231,0.4833,6.735,2.948,9.69,1865.65,0.295,12.267,60.6,249.27,0.5658,8.095,0.083,0.0738,2.356,143.61,116.88,1.0314,8.34e-06,2021-09-17 01:09
7372.63,150.34,214.8,47.19,0.0388,0.1907,3.9316,0.0567,0.2553,2.1514,0.0224,53.58,27.93,0.273,0.209,0.6082,3.877,9.259,1.775,0.8696,0.1334,0.0738,0.9925,0.0074,0.0067,1.3526,0.0367,1.4724,0.02,15.68,2.4804,0.0036,1.7,0.002,201.99,0.0966,1.6254,629.6694,1.0035,0.0105,13.598,0.547,5.8681,2.8784,9.783,1875.0,0.2962,12.25,61.58,249.97,0.5672,7.982,0.0827,0.0732,2.352,145.75,118.1,1.0336,8.73e-06,2021-09-17 05:09
7251.29,148.44,211.56,45.82,0.0378,0.1885,3.8508,0.0561,0.2486,2.1012,0.022,52.16,27.6,0.272,0.2091,0.5954,3.717,8.957,1.752,0.8502,0.1334,0.0744,0.9788,0.0073,0.0069,1.3522,0.0368,1.4756,0.0205,16.28,2.495,0.0035,1.735,0.0019,203.14,0.0977,1.5877,632.1719,1.0075,0.0105,13.9015,0.5773,5.7016,2.8203,9.701,1875.0,0.297,12.3,62.59,256.04,0.5702,8.034,0.0831,0.0732,2.33,144.59,129.52,1.0151,8.6e-06,2021-09-17 09:09
7297.69,149.04,213.11,45.91,0.038,0.1884,3.8704,0.0563,0.2564,2.0956,0.0221,52.32,27.78,0.269,0.2096,0.5959,3.71,9.074,1.759,0.8511,0.1335,0.0758,0.9562,0.0074,0.0069,1.4157,0.0361,1.5147,0.0203,15.48,2.4801,0.0038,1.697,0.002,205.16,0.0982,1.5332,650.0,1.0035,0.0105,13.7514,0.585,5.9572,2.8737,9.72,1865.86,0.2919,12.118,63.11,253.64,0.5604,8.328,0.0853,0.0722,2.315,143.03,125.98,1.0028,8.46e-06,2021-09-17 13:09
7315.59,148.43,214.84,45.87,0.0381,0.1875,3.8674,0.0564,0.2529,2.1,0.0221,52.49,27.7,0.267,0.2098,0.5934,3.713,9.042,1.764,0.8489,0.1338,0.0747,0.8846,0.0075,0.0069,1.3746,0.0368,1.5261,0.0203,14.65,2.4796,0.0035,1.728,0.0018,201.28,0.1,1.5032,634.2565,1.0052,0.0106,13.4729,0.566,5.6267,2.9997,9.72,1880.57,0.3013,12.069,60.56,263.56,0.5775,9.339,0.0975,0.0714,2.231,142.96,132.26,0.9422,8.29e-06,2021-09-17 17:09
7291.58,147.78,213.26,45.2,0.0379,0.188,3.8285,0.0555,0.2482,2.0866,0.0229,51.85,27.55,0.28,0.2104,0.5869,3.623,8.907,1.735,0.848,0.1338,0.0795,0.8589,0.0078,0.0069,1.4345,0.0368,1.6467,0.0206,14.98,2.4459,0.0037,1.747,0.0018,209.25,0.1,1.5089,630.9561,1.004,0.0104,13.4055,0.5369,5.6771,2.7978,9.725,1872.33,0.3011,12.07,57.35,259.64,0.5684,9.236,0.0949,0.0721,2.1,142.0,137.64,0.9637,8.14e-06,2021-09-17 21:09
7305.0,148.89,214.12,45.55,0.0381,0.1893,3.8617,0.0557,0.2483,2.09,0.023,51.73,27.71,0.275,0.2111,0.5933,3.676,8.946,1.746,0.8432,0.1338,0.0838,0.9122,0.0078,0.0069,1.5042,0.0362,1.6559,0.0207,14.96,2.4443,0.0039,1.709,0.0018,211.6,0.0961,1.5188,625.089,1.0056,0.0102,13.3281,0.4828,4.9794,2.5879,9.731,1862.56,0.2976,12.276,52.41,264.17,0.5765,9.32,0.0924,0.0711,2.408,142.75,137.89,0.9557,7.91e-06,2021-09-18 01:09
7354.59,149.27,214.43,45.79,0.0382,0.1904,3.8662,0.0561,0.2474,2.0785,0.0233,51.72,27.61,0.283,0.211,0.597,3.796,9.015,1.766,0.8447,0.1301,0.0864,0.8458,0.0075,0.0068,1.5567,0.0361,1.7655,0.0204,15.52,2.4652,0.0038,1.708,0.0016,204.07,0.096,1.5179,632.8413,1.008,0.0103,13.4619,0.5288,5.0,2.6793,9.73,1868.82,0.3043,12.095,52.83,252.1,0.5526,9.004,0.0931,0.0709,2.464,141.65,133.88,0.9569,8.08e-06,2021-09-18 05:09
7298.62,148.41,213.36,45.48,0.0379,0.1891,3.8819,0.0554,0.2485,2.0708,0.0258,51.37,27.39,0.279,0.2099,0.5887,3.688,8.99,1.746,0.8428,0.1301,0.0844,0.8369,0.0074,0.0069,1.6673,0.036,1.746,0.0203,15.59,2.4803,0.0038,1.653,0.0018,199.13,0.0975,1.5014,634.6091,1.0055,0.0108,13.386,0.4782,5.2145,2.8006,9.839,1898.81,0.3034,12.056,52.04,255.43,0.5586,9.02,0.0936,0.0708,2.453,141.65,131.41,0.9573,7.74e-06,2021-09-18 09:09
7271.46,146.88,212.06,44.57,0.0379,0.1942,3.8315,0.0553,0.248,2.1162,0.026,50.7,27.24,0.274,0.2101,0.5875,3.671,8.979,1.74,0.8428,0.1301,0.0829,0.8315,0.0074,0.007,1.6455,0.0368,1.7192,0.0205,15.24,2.4867,0.0037,1.646,0.0016,197.35,0.0994,1.513,639.7263,1.0064,0.0107,13.1348,0.5203,5.3663,2.7795,9.838,1898.52,0.3168,11.339,46.23,256.32,0.5527,8.3,0.104,0.0671,2.542,142.59,129.4,0.9878,7.86e-06,2021-09-18 13:09
7345.56,148.27,212.38,45.87,0.0384,0.1951,3.8632,0.056,0.2471,2.1897,0.027,51.91,27.61,0.277,0.2101,0.5877,3.699,9.083,1.727,0.8494,0.1301,0.0865,0.8615,0.0073,0.0071,1.6273,0.0358,1.7606,0.0203,15.36,2.4614,0.0038,1.63,0.0018,191.0,0.098,1.5144,640.4143,1.0082,0.0109,13.5122,0.5053,5.1628,2.9157,9.85,1898.52,0.3062,11.434,48.17,249.22,0.5442,8.059,0.091,0.0675,2.645,143.98,136.2,0.972,7.78e-06,2021-09-18 17:09
7330.7,147.95,213.04,45.63,0.0383,0.1943,3.8597,0.0562,0.2469,2.155,0.0263,51.66,27.53,0.288,0.21,0.5905,3.7,9.021,1.772,0.8418,0.1256,0.0805,0.8622,0.0072,0.0069,1.7206,0.0357,1.7194,0.0202,15.31,2.4614,0.0036,1.659,0.0018,193.34,0.0993,1.5104,647.2767,1.0093,0.0107,14.478,0.5033,4.4195,2.6782,9.889,1885.94,0.3082,11.524,47.79,248.92,0.5442,8.175,0.0948,0.0682,2.614,145.73,132.07,1.0197,7.66e-06,2021-09-18 21:09
7297.49,147.49,211.81,44.79,0.0378,0.1964,3.8374,0.056,0.2436,2.1281,0.0258,51.3,27.35,0.288,0.2043,0.5816,3.642,9.021,1.758,0.8486,0.1234,0.0795,0.8821,0.0072,0.0067,1.7776,0.0362,1.7392,0.0203,15.31,2.4614,0.0037,1.644,0.0017,195.32,0.0994,1.5266,658.6721,1.0093,0.0106,14.0782,0.5161,4.2763,2.8219,9.984,1902.55,0.3039,11.262,49.07,242.3,0.5325,8.382,0.0964,0.0669,2.712,143.8,134.85,0.9948,7.41e-06,2021-09-19 01:09
7157.02,144.69,205.61,44.08,0.0367,0.1878,3.7277,0.0545,0.2381,2.059,0.0278,50.39,26.67,0.288,0.2012,0.566,3.494,8.688,1.694,0.816,0.1202,0.0814,0.8902,0.0071,0.0066,1.7888,0.0362,1.65,0.0203,15.52,2.459,0.0036,1.636,0.0017,206.32,0.097,1.4917,659.9999,1.0088,0.0105,14.5887,0.4958,4.5749,2.8804,10.239,1895.81,0.2985,10.742,49.7,237.34,0.52,8.202,0.0991,0.0675,2.56,142.57,139.0,1.035,7.53e-06,2021-09-19 05:09
7134.16,144.1,204.7,44.04,0.0365,0.1853,3.7341,0.0541,0.2358,2.04,0.0269,49.88,26.59,0.267,0.2004,0.5723,3.437,8.633,1.678,0.8042,0.1201,0.0852,0.8905,0.0069,0.0065,1.6546,0.0365,1.705,0.0202,15.5,2.4001,0.0035,1.62,0.0018,202.0,0.0966,1.4729,665.3787,1.0192,0.0105,15.0447,0.5163,4.2682,2.9698,10.27,1901.63,0.2859,10.439,49.23,237.97,0.5101,7.945,0.0985,0.0666,2.443,142.47,136.25,1.0252,8.12e-06,2021-09-19 09:09
7206.49,145.6,206.47,44.82,0.0369,0.1854,3.7688,0.0549,0.2377,2.0623,0.0265,50.21,27.23,0.274,0.2004,0.5824,3.541,8.769,1.678,0.8042,0.1201,0.0855,0.8779,0.007,0.0065,1.6795,0.0365,1.7333,0.0203,15.68,2.3365,0.0035,1.652,0.0019,196.3,0.0963,1.4764,677.4384,1.0153,0.0103,15.5433,0.5223,4.3512,2.9629,10.078,1903.48,0.2969,10.687,54.72,237.77,0.5081,8.199,0.0981,0.0663,2.38,142.28,134.99,1.0265,8.12e-06,2021-09-19 13:09
7475.92,149.21,215.26,46.08,0.0379,0.1912,3.8333,0.0562,0.2413,2.0994,0.0278,51.46,27.47,0.278,0.2042,0.5805,3.709,8.963,1.759,0.8271,0.1129,0.0801,0.8874,0.0068,0.0063,1.6801,0.037,1.7323,0.0204,15.79,2.249,0.0035,1.641,0.0017,202.81,0.0951,1.4738,669.5108,1.0126,0.0102,15.7767,0.5149,3.8515,2.8652,10.078,1902.64,0.2915,10.489,53.57,219.6,0.4883,8.235,0.0995,0.0646,2.392,134.72,134.44,0.9985,7.58e-06,2021-09-19 17:09
