BTCUSD,ETHUSD,BCHUSD,LTCUSD,ADAUSD,BATUSD,ETCUSD,XLMUSD,ZRXUSD,LINKUSD,RVNUSD,DASHUSD,ZECUSD,ALGOUSD,IOTAUSD,WAVESUSD,ATOMUSD,NEOUSD,QTUMUSD,NANOUSD,ICXUSD,ENJUSD,ONTUSD,ZILUSD,VETUSD,XTZUSD,HBARUSD,OMGUSD,MATICUSD,REPUSD,EOSUSD,DOGEUSD,KNCUSD,VTHOUSD,COMPUSD,MANAUSD,HNTUSD,MKRUSD,DAIUSD,ONEUSD,BANDUSD,STORJUSD,UNIUSD,SOLUSD,EGLDUSD,PAXGUSD,OXTUSD,ZENUSD,FILUSD,AAVEUSD
7353.08666667,150.41666667,213.55,47.37333333,0.03946667,0.19436667,3.92023333,0.05693333,0.2579,2.1679,0.02233333,53.04,27.83333333,0.261,0.2064,0.60446667,3.807,9.28133333,1.80833333,0.88903333,0.13343333,0.07696667,0.993,0.00733333,0.00663333,1.35943333,0.03636667,1.53906667,0.02063333,16.2,2.48716667,0.00373333,1.74366667,0.00213333,220.31,0.09716667,1.5486,624.71583333,1.0088,0.0106,13.18233333,0.46416667,6.77723333,2.93586667,9.54833333,1864.58333333,0.29833333,12.30166667,63.02333333,250.35666667
7374.29666667,150.69333333,214.29666667,47.36,0.03936667,0.19376667,3.92956667,0.05706667,0.25756667,2.16153333,0.02233333,53.21666667,27.88,0.26733333,0.20723333,0.6078,3.824,9.24633333,1.79366667,0.87746667,0.1335,0.07576667,0.9738,0.0074,0.00663333,1.3385,0.03646667,1.50863333,0.0204,15.96666667,2.4804,0.00366667,1.72533333,0.0021,212.76,0.09666667,1.58626667,630.2435,1.0075,0.01053333,13.42483333,0.49743333,6.62336667,2.928,9.69133333,1868.76666667,0.29616667,12.29833333,62.11666667,250.33
7341.44,150.07,213.67,46.84,0.03876667,0.19163333,3.90656667,0.05676667,0.25463333,2.14236667,0.02226667,52.94666667,27.83,0.271,0.2081,0.60536667,3.80933333,9.154,1.77133333,0.86733333,0.13346667,0.07486667,0.9773,0.0074,0.00673333,1.34923333,0.03663333,1.4839,0.02036667,16.05,2.48526667,0.00356667,1.724,0.002,203.88,0.09666667,1.609,631.398,1.00706667,0.01053333,13.70753333,0.53586667,6.10156667,2.88223333,9.72466667,1871.88333333,0.29606667,12.27233333,61.59,251.76
7307.20333333,149.27333333,213.15666667,46.30666667,0.0382,0.1892,3.88426667,0.05636667,0.25343333,2.11606667,0.02216667,52.68666667,27.77,0.27133333,0.20923333,0.59983333,3.768,9.09666667,1.762,0.85696667,0.13343333,0.07466667,0.97583333,0.00736667,0.00683333,1.3735,0.03653333,1.48756667,0.02026667,15.81333333,2.48516667,0.00363333,1.71066667,0.00196667,203.43,0.0975,1.5821,637.28043333,1.00483333,0.0105,13.7503,0.56976667,5.8423,2.85746667,9.73466667,1871.95333333,0.29503333,12.22266667,62.42666667,253.21666667
7288.19,148.63666667,213.17,45.86666667,0.03796667,0.18813333,3.86286667,0.05626667,0.25263333,2.09893333,0.02206667,52.32333333,27.69333333,0.26933333,0.2095,0.5949,3.71333333,9.02433333,1.75833333,0.85006667,0.13356667,0.07496667,0.93986667,0.0074,0.0069,1.38083333,0.03656667,1.50546667,0.02036667,15.47,2.4849,0.0036,1.72,0.0019,203.19333333,0.09863333,1.54136667,638.80946667,1.0054,0.01053333,13.7086,0.5761,5.76183333,2.8979,9.71366667,1873.81,0.29673333,12.16233333,62.08666667,257.74666667
7301.62,148.41666667,213.73666667,45.66,0.038,0.18796667,3.85543333,0.05606667,0.2525,2.09406667,0.02236667,52.22,27.67666667,0.272,0.20993333,0.59206667,3.682,9.00766667,1.75266667,0.84933333,0.1337,0.07666667,0.8999,0.00756667,0.0069,1.40826667,0.03656667,1.5625,0.0204,15.03666667,2.46853333,0.00366667,1.724,0.00186667,205.23,0.0994,1.5151,638.4042,1.00423333,0.0105,13.54326667,0.56263333,5.75366667,2.8904,9.72166667,1872.92,0.2981,12.08566667,60.34,258.94666667
7304.05666667,148.36666667,214.07333333,45.54,0.03803333,0.18826667,3.85253333,0.05586667,0.2498,2.0922,0.02266667,52.02333333,27.65333333,0.274,0.21043333,0.5912,3.67066667,8.965,1.74833333,0.8467,0.1338,0.07933333,0.88523333,0.0077,0.0069,1.43776667,0.0366,1.60956667,0.02053333,14.86333333,2.4566,0.0037,1.728,0.0018,207.37666667,0.0987,1.5103,630.10053333,1.00493333,0.0104,13.40216667,0.52856667,5.42773333,2.79513333,9.72533333,1871.82,0.3,12.13833333,56.77333333,262.45666667
7317.05666667,148.64666667,213.93666667,45.51333333,0.03806667,0.18923333,3.85213333,0.05576667,0.24796667,2.08503333,0.02306667,51.76666667,27.62333333,0.27933333,0.21083333,0.5924,3.69833333,8.956,1.749,0.8453,0.13256667,0.08323333,0.8723,0.0077,0.00686667,1.49846667,0.03636667,1.68936667,0.02056667,15.15333333,2.4518,0.0038,1.72133333,0.00173333,208.30666667,0.09736667,1.5152,629.6288,1.00586667,0.0103,13.3985,0.51616667,5.21883333,2.68833333,9.72866667,1867.90333333,0.301,12.147,54.19666667,258.63666667
7319.40333333,148.85666667,213.97,45.60666667,0.03806667,0.1896,3.86993333,0.05573333,0.24806667,2.07976667,0.02403333,51.60666667,27.57,0.279,0.21066667,0.593,3.72,8.98366667,1.75266667,0.84356667,0.13133333,0.08486667,0.86496667,0.00756667,0.00686667,1.57606667,0.0361,1.72246667,0.02046667,15.35666667,2.46326667,0.00383333,1.69,0.00173333,204.93333333,0.09653333,1.5127,630.84646667,1.00636667,0.01043333,13.392,0.4966,5.06463333,2.68926667,9.76666667,1876.73,0.30176667,12.14233333,52.42666667,257.23333333
7308.22333333,148.18666667,213.28333333,45.28,0.038,0.19123333,3.85986667,0.0556,0.24796667,2.0885,0.02503333,51.26333333,27.41333333,0.27866667,0.21033333,0.59106667,3.71833333,8.99466667,1.75066667,0.84343333,0.1301,0.08456667,0.83806667,0.00743333,0.0069,1.62316667,0.0363,1.74356667,0.0204,15.45,2.4774,0.00376667,1.669,0.00166667,200.18333333,0.09763333,1.51076667,635.72556667,1.00663333,0.0106,13.32756667,0.5091,5.1936,2.75313333,9.80233333,1888.71666667,0.30816667,11.83,50.36666667,254.61666667
7305.21333333,147.85333333,212.6,45.30666667,0.03806667,0.1928,3.85886667,0.05556667,0.24786667,2.12556667,0.02626667,51.32666667,27.41333333,0.27666667,0.21003333,0.58796667,3.686,9.01733333,1.73766667,0.845,0.1301,0.0846,0.8433,0.00736667,0.007,1.6467,0.0362,1.74193333,0.02036667,15.39666667,2.47613333,0.00376667,1.643,0.00173333,195.82666667,0.0983,1.5096,638.2499,1.0067,0.0108,13.34433333,0.50126667,5.24786667,2.83193333,9.84233333,1898.61666667,0.3088,11.60966667,48.81333333,253.65666667
7315.90666667,147.7,212.49333333,45.35666667,0.0382,0.19453333,3.85146667,0.05583333,0.24733333,2.15363333,0.02643333,51.42333333,27.46,0.27966667,0.21006667,0.58856667,3.69,9.02766667,1.74633333,0.84466667,0.1286,0.0833,0.85173333,0.0073,0.007,1.66446667,0.0361,1.73306667,0.02033333,15.30333333,2.46983333,0.0037,1.645,0.00173333,193.89666667,0.0989,1.5126,642.47243333,1.00796667,0.01076667,13.70833333,0.50963333,4.98286667,2.79113333,9.859,1894.32666667,0.3104,11.43233333,47.39666667,251.48666667
7324.58333333,147.90333333,212.41,45.43,0.03816667,0.19526667,3.85343333,0.05606667,0.24586667,2.1576,0.02636667,51.62333333,27.49666667,0.28433333,0.20813333,0.5866,3.68033333,9.04166667,1.75233333,0.8466,0.12636667,0.08216667,0.8686,0.00723333,0.0069,1.7085,0.0359,1.73973333,0.02026667,15.32666667,2.4614,0.0037,1.64433333,0.00176667,193.22,0.0989,1.51713333,648.7877,1.00893333,0.01073333,14.0228,0.50823333,4.61953333,2.80526667,9.90766667,1895.67,0.3061,11.40666667,48.34333333,246.81333333
7261.73666667,146.71,210.15333333,44.83333333,0.0376,0.19283333,3.80826667,0.05556667,0.24286667,2.11403333,0.02663333,51.11666667,27.18333333,0.288,0.20516667,0.57936667,3.612,8.91,1.74133333,0.83546667,0.12306667,0.08046667,0.87816667,0.00716667,0.00673333,1.76233333,0.03603333,1.70286667,0.02026667,15.38,2.4606,0.00363333,1.64633333,0.00173333,198.32666667,0.09856667,1.50956667,655.31623333,1.00913333,0.0106,14.38163333,0.50506667,4.42356667,2.7935,10.03733333,1894.76666667,0.30353333,11.176,48.85333333,242.85333333
7196.22333333,145.42666667,207.37333333,44.30333333,0.037,0.18983333,3.7664,0.05486667,0.23916667,2.0757,0.02683333,50.52333333,26.87,0.281,0.20196667,0.5733,3.52433333,8.78066667,1.71,0.82293333,0.12123333,0.08203333,0.8876,0.00706667,0.0066,1.74033333,0.0363,1.69806667,0.02026667,15.44333333,2.44016667,0.0036,1.63333333,0.00173333,201.21333333,0.09766667,1.49706667,661.35023333,1.01243333,0.01053333,14.57053333,0.5094,4.37313333,2.8907,10.16433333,1899.99666667,0.2961,10.81433333,49.33333333,239.20333333
7165.89,144.79666667,205.59333333,44.31333333,0.0367,0.18616667,3.74353333,0.0545,0.2372,2.05376667,0.02706667,50.16,26.83,0.27633333,0.20066667,0.57356667,3.49066667,8.69666667,1.68333333,0.80813333,0.12013333,0.08403333,0.8862,0.007,0.00653333,1.70763333,0.0364,1.6961,0.02026667,15.56666667,2.39853333,0.00353333,1.636,0.0018,201.54,0.09663333,1.48033333,667.60566667,1.01443333,0.01043333,15.0589,0.51146667,4.3981,2.9377,10.19566667,1900.30666667,0.29376667,10.62266667,51.21666667,237.69333333
7272.19,146.30333333,208.81,44.98,0.0371,0.1873,3.77873333,0.05506667,0.23826667,2.06723333,0.02706667,50.51666667,27.09666667,0.273,0.20166667,0.5784,3.56233333,8.78833333,1.705,0.81183333,0.1177,0.0836,0.88526667,0.0069,0.00643333,1.6714,0.03666667,1.72353333,0.0203,15.65666667,2.32853333,0.0035,1.63766667,0.0018,200.37,0.096,1.47436667,670.77596667,1.0157,0.01033333,15.4549,0.51783333,4.15696667,2.93263333,10.142,1902.58333333,0.29143333,10.53833333,52.50666667,231.78
7390.45666667,148.20333333,211.94666667,45.60666667,0.03776667,0.18763333,3.8095,0.05576667,0.23953333,2.07873333,0.0275,51.14666667,27.37666667,0.27633333,0.20256667,0.5804,3.65266667,8.89833333,1.732,0.8207,0.11433333,0.08096667,0.8993,0.0068,0.00633333,1.68406667,0.03746667,1.7271,0.02066667,15.86666667,2.3056,0.00343333,1.644,0.00176667,199.99666667,0.09503333,1.47466667,667.4765,1.0135,0.0103,15.55963333,0.51143333,4.02263333,2.867,10.066,1898.73666667,0.2924,10.454,54.26333333,226.73333333
7388.45333333,148.16333333,212.37666667,45.55333333,0.03786667,0.18636667,3.8029,0.05566667,0.23686667,2.07006667,0.02756667,51.25666667,27.19666667,0.273,0.2026,0.5738,3.65866667,8.84866667,1.74633333,0.82116667,0.111,0.07736667,0.91453333,0.00663333,0.00626667,1.65423333,0.03826667,1.7239,0.02106667,16.03666667,2.3117,0.0033,1.65033333,0.0017,200.23,0.0939,1.47253333,664.28186667,1.01246667,0.01033333,15.32916667,0.49453333,3.877,2.86206667,10.07733333,1893.97,0.2888,10.32966667,54.16666667,219.92666667
7303.69,146.74,209.66666667,44.89666667,0.03756667,0.18286667,3.7723,0.05503333,0.2316,2.0326,0.02683333,50.88,27.04333333,0.26666667,0.20136667,0.5646,3.59966667,8.692,1.72933333,0.81526667,0.11063333,0.0774,0.92813333,0.0064,0.00613333,1.6517,0.03796667,1.7211,0.02133333,15.93333333,2.35556667,0.0032,1.65733333,0.00173333,200.01666667,0.0915,1.47413333,653.51193333,1.0125,0.01033333,14.91506667,0.48116667,3.97196667,2.88126667,10.08666667,1897.35666667,0.28866667,10.395,54.65,222.5
7242.26666667,145.35333333,207.85666667,44.35666667,0.0371,0.18073333,3.74846667,0.05463333,0.2282,2.01036667,0.02586667,50.52,27.08,0.262,0.20063333,0.55843333,3.56666667,8.58033333,1.711,0.81206667,0.11033333,0.07733333,0.92236667,0.00616667,0.006,1.6475,0.0378,1.7209,0.02136667,15.68333333,2.3677,0.00316667,1.666,0.0017,200.43333333,0.09063333,1.4835,644.45133333,1.01286667,0.01023333,14.60473333,0.47526667,3.98293333,2.9088,10.1,1903.65,0.2894,10.50966667,56.08666667,223.23333333
