BTCUSD,ETHUSD,BCHUSD,LTCUSD,ADAUSD,BATUSD,ETCUSD,XLMUSD,ZRXUSD,LINKUSD,RVNUSD,DASHUSD,ZECUSD,ALGOUSD,IOTAUSD,WAVESUSD,ATOMUSD,NEOUSD,QTUMUSD,NANOUSD,ICXUSD,ENJUSD,ONTUSD,ZILUSD,VETUSD,XTZUSD,HBARUSD,OMGUSD,MATICUSD,REPUSD,EOSUSD,DOGEUSD,KNCUSD,VTHOUSD,COMPUSD,MANAUSD,HNTUSD,MKRUSD,DAIUSD,ONEUSD,BANDUSD,STORJUSD,UNIUSD,SOLUSD,EGLDUSD,PAXGUSD,OXTUSD,ZENUSD,FILUSD,AAVEUSD,GRTUSD,SUSHIUSD,ANKRUSD,AMPUSD,CRVUSD,AXSUSD,AVAXUSD,CTSIUSD,SHIBUSDT,Date
7309.0,149.57,212.66,47.17,0.0393,0.1925,3.9286,0.0565,0.2538,2.174,0.0221,53.47,27.91,0.254,0.2065,0.5948,3.805,9.198,1.819,0.8943,0.1334,0.0752,1.05,0.0072,0.0066,1.4197,0.0364,1.5626,0.0208,16.12,2.4671,0.0038,1.758,0.0022,225.02,0.098,1.5124,612.0482,1.0074,0.0106,12.8887,0.4631,6.3194,2.9064,9.354,1880.48,0.3031,12.3,64.05,250.05,0.5687,7.869,0.0837,0.0726,2.423,143.57,118.0,1.051,9.16e-06,2021-09-16 21:09
7357.69,150.63,213.93,47.48,0.0396,0.1958,3.9244,0.0573,0.2637,2.1674,0.0225,53.71,27.94,0.262,0.2068,0.6062,3.803,9.26,1.771,0.9,0.1333,0.077,0.9623,0.0075,0.0066,1.322,0.0363,1.5405,0.0206,15.95,2.4804,0.0039,1.736,0.0021,227.61,0.097,1.5195,629.7777,1.01,0.0106,13.0351,0.4799,7.2552,2.9655,9.618,1865.65,0.2956,12.377,64.01,250.93,0.5632,8.203,0.0827,0.0716,2.33,143.8,119.5,1.0374,8.75e-06,2021-09-17 01:09
7410.41,151.17,214.87,47.51,0.0394,0.1963,3.9407,0.0573,0.26,2.1715,0.0224,53.29,27.92,0.268,0.2063,0.6027,3.794,9.24,1.777,0.8797,0.1332,0.0759,0.9605,0.0074,0.0066,1.328,0.0374,1.502,0.0205,16.21,2.4804,0.0035,1.725,0.002,204.0,0.0951,1.62,630.6025,1.007,0.0105,13.6172,0.508,6.7076,2.9,9.691,1879.97,0.2955,12.279,60.69,248.86,0.5688,8.102,0.0831,0.0737,2.361,143.31,116.7,1.0298,8.3e-06,2021-09-17 05:09
7365.09,150.3,214.59,47.15,0.0388,0.1923,3.9098,0.0566,0.2543,2.1497,0.0224,53.41,27.96,0.273,0.2091,0.604,3.869,8.947,1.752,0.8642,0.1332,0.0739,0.9868,0.0075,0.0068,1.3797,0.0367,1.476,0.02,15.95,2.4899,0.0036,1.7,0.002,200.0,0.0968,1.6254,628.5,1.0067,0.0105,13.5788,0.5781,5.8774,2.81,9.818,1875.0,0.297,12.25,61.5,249.97,0.5671,7.982,0.0827,0.0735,2.352,145.8,117.51,1.0336,8.7e-06,2021-09-17 09:09
7251.29,148.49,210.1,45.84,0.0376,0.1874,3.8508,0.0562,0.2493,2.1012,0.022,51.93,27.36,0.277,0.2091,0.5936,3.663,8.98,1.752,0.8613,0.1336,0.0765,0.9715,0.0075,0.0068,1.365,0.037,1.4764,0.0205,16.35,2.4891,0.0036,1.732,0.0019,203.15,0.0972,1.5877,633.7567,1.0075,0.0105,13.916,0.5773,5.72,2.7654,9.701,1880.97,0.2974,12.3,62.65,256.16,0.5698,8.029,0.0832,0.0734,2.321,144.73,129.46,1.0147,8.58e-06,2021-09-17 13:09
7297.69,148.68,212.49,45.81,0.0377,0.1869,3.8546,0.0564,0.2568,2.0976,0.0221,52.11,27.71,0.273,0.208,0.5926,3.679,9.12,1.757,0.8526,0.1335,0.076,0.9461,0.0075,0.0068,1.416,0.0363,1.5056,0.0205,15.41,2.475,0.0038,1.7,0.002,205.16,0.0988,1.66,644.0894,1.0035,0.0103,13.7708,0.585,5.9469,2.911,9.72,1879.66,0.298,12.1,63.31,253.3,0.5617,8.337,0.0852,0.0722,2.309,143.19,125.98,0.9995,8.45e-06,2021-09-17 17:09
7315.94,148.99,215.41,45.76,0.0381,0.1887,3.8597,0.0565,0.2523,2.1025,0.0228,52.16,27.59,0.268,0.2101,0.5892,3.699,9.056,1.759,0.8489,0.1338,0.0755,0.9016,0.0075,0.0068,1.3713,0.0368,1.5284,0.0202,14.75,2.4781,0.0036,1.731,0.0018,203.51,0.1,1.5032,631.0831,1.0069,0.0105,13.4729,0.566,5.6317,3.0337,9.722,1880.54,0.2985,12.052,60.34,263.29,0.5793,9.329,0.0975,0.0714,2.232,143.13,132.05,0.9451,8.31e-06,2021-09-17 21:09
7283.02,147.69,213.46,45.12,0.0379,0.1873,3.824,0.0558,0.2498,2.094,0.023,51.87,27.61,0.28,0.2104,0.5946,3.643,8.993,1.747,0.848,0.1338,0.0838,0.8751,0.0077,0.0069,1.4312,0.0367,1.6432,0.0207,15.24,2.4201,0.0036,1.763,0.0018,208.1,0.1,1.5098,629.4357,1.008,0.0103,13.4056,0.5371,5.6638,2.7957,9.725,1872.33,0.2992,12.142,57.57,260.28,0.5683,9.269,0.0952,0.072,2.122,142.31,137.78,0.9616,8.15e-06,2021-09-18 01:09
7305.0,149.04,214.21,45.58,0.0381,0.1894,3.8567,0.0557,0.2475,2.0897,0.0232,51.73,27.82,0.279,0.2111,0.5948,3.68,9.062,1.766,0.8368,0.1338,0.0864,0.9052,0.0078,0.0069,1.5042,0.0362,1.6558,0.0205,14.84,2.5044,0.0039,1.709,0.0018,210.01,0.0962,1.5435,629.4688,1.0073,0.0102,13.3173,0.5079,4.9794,2.5891,9.725,1877.56,0.302,12.202,52.61,264.69,0.5749,9.285,0.0922,0.0712,2.412,142.68,137.94,0.9581,7.91e-06,2021-09-18 05:09
7357.13,149.37,214.78,45.84,0.0384,0.1906,3.8846,0.0558,0.2474,2.087,0.0231,51.85,27.73,0.28,0.2111,0.5945,3.819,9.035,1.766,0.8457,0.1301,0.0834,0.8373,0.0074,0.0068,1.5625,0.0361,1.7655,0.0206,15.55,2.466,0.0038,1.709,0.0017,205.08,0.0971,1.5227,629.0003,1.0055,0.0104,13.4428,0.5278,4.9726,2.6726,9.73,1892.13,0.298,12.095,52.64,251.39,0.5532,8.978,0.0929,0.0711,2.472,141.76,133.8,0.956,8.08e-06,2021-09-18 09:09
7295.0,148.38,213.99,45.44,0.038,0.1886,3.8743,0.0556,0.2481,2.0709,0.0264,51.56,27.29,0.278,0.2101,0.5912,3.738,8.982,1.746,0.8428,0.1301,0.0835,0.8408,0.0074,0.0069,1.6424,0.036,1.746,0.0204,15.61,2.4877,0.0038,1.647,0.0018,199.13,0.0979,1.5153,641.6777,1.0064,0.0107,13.386,0.4763,5.2261,2.8394,9.839,1896.36,0.305,12.053,52.09,255.43,0.5567,9.019,0.0936,0.0708,2.462,141.65,131.41,0.9565,7.74e-06,2021-09-18 13:09
7270.5,146.97,212.14,44.8,0.0377,0.1936,3.8488,0.0555,0.2479,2.103,0.026,51.05,27.3,0.272,0.2101,0.5852,3.725,8.887,1.845,0.8458,0.1301,0.0847,0.8301,0.0075,0.0071,1.6455,0.0368,1.7157,0.0202,15.24,2.4867,0.0037,1.631,0.0017,196.18,0.0994,1.5009,639.1379,1.0079,0.0107,13.1348,0.5213,5.3663,2.7378,9.822,1898.52,0.3141,11.309,46.22,254.06,0.5546,8.281,0.1038,0.0671,2.542,142.59,129.4,0.9909,7.84e-06,2021-09-18 17:09
7345.56,148.29,213.11,45.81,0.0384,0.1951,3.8643,0.0562,0.247,2.1732,0.0273,52.03,27.63,0.279,0.2101,0.5825,3.691,9.021,1.756,0.8494,0.1301,0.0893,0.8472,0.0073,0.0071,1.631,0.0359,1.7631,0.0202,15.58,2.4614,0.0037,1.63,0.0018,192.19,0.0982,1.5159,641.0154,1.0082,0.0109,13.5368,0.5063,5.1907,2.939,9.858,1890.0,0.3059,11.434,48.2,249.18,0.5438,8.045,0.0911,0.0675,2.652,143.98,136.05,0.972,7.78e-06,2021-09-18 21:09
7327.97,147.64,212.74,45.64,0.0382,0.1932,3.86,0.0562,0.2475,2.155,0.0263,51.5,27.39,0.29,0.2103,0.5828,3.65,9.021,1.758,0.8374,0.1252,0.0806,0.87,0.0071,0.0068,1.745,0.036,1.719,0.0201,15.31,2.4756,0.0036,1.649,0.0018,192.68,0.0985,1.5206,648.6262,1.0093,0.0107,14.4932,0.5033,4.4121,2.7272,9.903,1901.42,0.3098,11.478,47.48,250.29,0.5458,8.184,0.0952,0.068,2.598,144.47,132.04,1.0196,7.66e-06,2021-09-19 01:09
7296.08,146.57,211.62,44.75,0.0378,0.1953,3.8333,0.0558,0.2422,2.1142,0.0257,51.43,27.3,0.285,0.2029,0.5826,3.624,8.902,1.758,0.8208,0.1231,0.079,0.8853,0.0072,0.0067,1.7532,0.0363,1.7449,0.0203,15.53,2.4614,0.0037,1.643,0.0018,196.41,0.0991,1.508,654.0,1.0095,0.0106,14.1012,0.5161,4.2404,2.8156,9.984,1891.04,0.3022,11.25,49.12,242.0,0.5318,8.382,0.0968,0.0667,2.713,144.0,134.44,0.9942,7.41e-06,2021-09-19 05:09
7151.68,144.6,205.2,44.02,0.0367,0.1862,3.7223,0.0544,0.2379,2.05,0.0267,49.94,26.55,0.288,0.2001,0.5712,3.459,8.633,1.678,0.8136,0.1201,0.0798,0.8992,0.0071,0.0067,1.8462,0.0363,1.6436,0.0202,15.5,2.4265,0.0037,1.632,0.0017,206.85,0.0969,1.4819,664.4248,1.0103,0.0105,14.6112,0.5003,4.5561,2.9056,10.239,1894.41,0.2961,10.742,50.1,236.83,0.5199,8.202,0.099,0.0675,2.56,142.88,139.36,1.0358,7.53e-06,2021-09-19 09:09
